"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\AngularProject\Polerace\src\app\Platform\home\components\home\home.component.html", "HTML", 0, 1141, 0, 0, 15, 1156
"d:\AngularProject\Polerace\src\app\Platform\home\components\home\home.component.scss", "SCSS", 0, 0, 44, 0, 3, 47
"d:\AngularProject\Polerace\src\app\Platform\home\components\home\home.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\home\home.component.ts", "TypeScript", 26, 0, 0, 0, 9, 35
"d:\AngularProject\Polerace\src\app\Platform\home\components\homefooter\homefooter.component.html", "HTML", 0, 72, 0, 7, 1, 80
"d:\AngularProject\Polerace\src\app\Platform\home\components\homefooter\homefooter.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\homefooter\homefooter.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\homefooter\homefooter.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"d:\AngularProject\Polerace\src\app\Platform\home\components\homeheader\homeheader.component.html", "HTML", 0, 40, 0, 5, 2, 47
"d:\AngularProject\Polerace\src\app\Platform\home\components\homeheader\homeheader.component.scss", "SCSS", 0, 0, 7, 4, 3, 14
"d:\AngularProject\Polerace\src\app\Platform\home\components\homeheader\homeheader.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\homeheader\homeheader.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigration\imigration.component.html", "HTML", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigration\imigration.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigration\imigration.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigration\imigration.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigrationandpartners\imigrationandpartners.component.html", "HTML", 0, 400, 0, 5, 17, 422
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigrationandpartners\imigrationandpartners.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigrationandpartners\imigrationandpartners.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\imigrationandpartners\imigrationandpartners.component.ts", "TypeScript", 29, 0, 0, 0, 7, 36
"d:\AngularProject\Polerace\src\app\Platform\home\components\prcing\prcing.component.html", "HTML", 0, 69, 0, 3, 25, 97
"d:\AngularProject\Polerace\src\app\Platform\home\components\prcing\prcing.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\prcing\prcing.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\prcing\prcing.component.ts", "TypeScript", 29, 0, 0, 0, 7, 36
"d:\AngularProject\Polerace\src\app\Platform\home\components\privacy\privacy.component.html", "HTML", 0, 27, 0, 3, 17, 47
"d:\AngularProject\Polerace\src\app\Platform\home\components\privacy\privacy.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\privacy\privacy.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\privacy\privacy.component.ts", "TypeScript", 29, 0, 0, 0, 7, 36
"d:\AngularProject\Polerace\src\app\Platform\home\components\product\product.component.html", "HTML", 0, 99, 0, 16, 19, 134
"d:\AngularProject\Polerace\src\app\Platform\home\components\product\product.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\product\product.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\product\product.component.ts", "TypeScript", 29, 0, 0, 0, 7, 36
"d:\AngularProject\Polerace\src\app\Platform\home\components\productandfeatures\productandfeatures.component.html", "HTML", 0, 92, 0, 3, 40, 135
"d:\AngularProject\Polerace\src\app\Platform\home\components\productandfeatures\productandfeatures.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\productandfeatures\productandfeatures.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\productandfeatures\productandfeatures.component.ts", "TypeScript", 29, 0, 0, 0, 6, 35
